id,Gender,Have you previously attended any events organized by Tribe?,What day of the week are most convenient for you to attend events?,During which time(s) of the day are you most likely to attend events?,What topics would you be most interested in discussing or learning about during Tribe events?,"Would you like to see more gender focused events (e.g. female entrepreneurship, including discussions with female founders and women in business)",Do you feel that event advertisements are relevant to your interests and needs as a member of your gender group,What improvements or changes would encourage you to attend Tribe events more frequently? (Open-ended)?,Event Date_x,Year,Month,Month_name,index,Event Date_y,Pref_days_cleaned,pref_times_cleaned,pref_topic,final_category
6719865025,Female,Yes,"Thursdays, Wednesdays, Tuesdays",4pm - 6pm,.,Yes,Yes,.,2024-05-28,2024,5,May,0,2024-05-28,Thursdays,4pm - 6pm,.,uncategorized
6719865025,Female,Yes,"Thursdays, Wednesdays, Tuesdays",4pm - 6pm,.,Yes,Yes,.,2024-05-28,2024,5,May,0,2024-05-28,Wednesdays,4pm - 6pm,.,uncategorized
6719865025,Female,Yes,"Thursdays, Wednesdays, Tuesdays",4pm - 6pm,.,Yes,Yes,.,2024-05-28,2024,5,May,0,2024-05-28,Tuesdays,4pm - 6pm,.,uncategorized
6720233952,Male,Yes,Tuesdays,6pm - 8pm,Networking,Yes,Yes,Everything was great,2024-05-28,2024,5,May,1,2024-05-28,Tuesdays,6pm - 8pm,Networking,networking
6720554800,Male,No,"Fridays, Saturdays","2pm - 4pm, 4pm - 6pm",Entrepeneur/Startups,Yes,No,Snacks and free food :),2024-05-28,2024,5,May,2,2024-05-28,Fridays,2pm - 4pm,Entrepeneur/Startups,startup & entrepreneurship
6720554800,Male,No,"Fridays, Saturdays","2pm - 4pm, 4pm - 6pm",Entrepeneur/Startups,Yes,No,Snacks and free food :),2024-05-28,2024,5,May,2,2024-05-28,Fridays,4pm - 6pm,Entrepeneur/Startups,startup & entrepreneurship
6720554800,Male,No,"Fridays, Saturdays","2pm - 4pm, 4pm - 6pm",Entrepeneur/Startups,Yes,No,Snacks and free food :),2024-05-28,2024,5,May,2,2024-05-28,Saturdays,2pm - 4pm,Entrepeneur/Startups,startup & entrepreneurship
6720554800,Male,No,"Fridays, Saturdays","2pm - 4pm, 4pm - 6pm",Entrepeneur/Startups,Yes,No,Snacks and free food :),2024-05-28,2024,5,May,2,2024-05-28,Saturdays,4pm - 6pm,Entrepeneur/Startups,startup & entrepreneurship
6720554947,Male,No,"Saturdays, Sundays, Fridays","4pm - 6pm, 12pm - 2pm",Startups,No,No,More snacks,2024-05-28,2024,5,May,3,2024-05-28,Saturdays,4pm - 6pm,Startups,startup & entrepreneurship
6720554947,Male,No,"Saturdays, Sundays, Fridays","4pm - 6pm, 12pm - 2pm",Startups,No,No,More snacks,2024-05-28,2024,5,May,3,2024-05-28,Saturdays,12pm - 2pm,Startups,startup & entrepreneurship
6720554947,Male,No,"Saturdays, Sundays, Fridays","4pm - 6pm, 12pm - 2pm",Startups,No,No,More snacks,2024-05-28,2024,5,May,3,2024-05-28,Sundays,4pm - 6pm,Startups,startup & entrepreneurship
6720554947,Male,No,"Saturdays, Sundays, Fridays","4pm - 6pm, 12pm - 2pm",Startups,No,No,More snacks,2024-05-28,2024,5,May,3,2024-05-28,Sundays,12pm - 2pm,Startups,startup & entrepreneurship
6720554947,Male,No,"Saturdays, Sundays, Fridays","4pm - 6pm, 12pm - 2pm",Startups,No,No,More snacks,2024-05-28,2024,5,May,3,2024-05-28,Fridays,4pm - 6pm,Startups,startup & entrepreneurship
6720554947,Male,No,"Saturdays, Sundays, Fridays","4pm - 6pm, 12pm - 2pm",Startups,No,No,More snacks,2024-05-28,2024,5,May,3,2024-05-28,Fridays,12pm - 2pm,Startups,startup & entrepreneurship
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Mondays,9am - 12pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Mondays,4pm - 6pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Mondays,6pm - 8pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Thursdays,9am - 12pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Thursdays,4pm - 6pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Thursdays,6pm - 8pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Fridays,9am - 12pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Fridays,4pm - 6pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Fridays,6pm - 8pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Saturdays,9am - 12pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Saturdays,4pm - 6pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Saturdays,6pm - 8pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Sundays,9am - 12pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Sundays,4pm - 6pm,Any topic,uncategorized
