id,index,Event Date,Pref_days,pref_times,pref_topic,Pref_days_cleaned,pref_times_cleaned,pref_topic_cleaned,category,final_category
6719865025,0,2024-05-28,Thursdays,4pm - 6pm,.,Thursdays,4pm - 6pm,,uncategorized,uncategorized
6719865025,0,2024-05-28, Wednesdays,4pm - 6pm,.,Wednesdays,4pm - 6pm,,uncategorized,uncategorized
6719865025,0,2024-05-28, Tuesdays,4pm - 6pm,.,Tuesdays,4pm - 6pm,,uncategorized,uncategorized
6720233952,1,2024-05-28,Tuesdays,6pm - 8pm,Networking,Tuesdays,6pm - 8pm,networking,networking,networking
6720554800,2,2024-05-28,Fridays,2pm - 4pm,Entrepeneur/Startups,Fridays,2pm - 4pm,entrepreneurstartups,startup & entrepreneurship,startup & entrepreneurship
6720554800,2,2024-05-28,Fridays, 4pm - 6pm,Entrepeneur/Startups,Fridays,4pm - 6pm,entrepreneurstartups,startup & entrepreneurship,startup & entrepreneurship
6720554800,2,2024-05-28, Saturdays,2pm - 4pm,Entrepeneur/Startups,Saturdays,2pm - 4pm,entrepreneurstartups,startup & entrepreneurship,startup & entrepreneurship
6720554800,2,2024-05-28, Saturdays, 4pm - 6pm,Entrepeneur/Startups,Saturdays,4pm - 6pm,entrepreneurstartups,startup & entrepreneurship,startup & entrepreneurship
6720554947,3,2024-05-28,Saturdays,4pm - 6pm,Startups,Saturdays,4pm - 6pm,startups,startup & entrepreneurship,startup & entrepreneurship
6720554947,3,2024-05-28,Saturdays, 12pm - 2pm,Startups,Saturdays,12pm - 2pm,startups,startup & entrepreneurship,startup & entrepreneurship
6720554947,3,2024-05-28, Sundays,4pm - 6pm,Startups,Sundays,4pm - 6pm,startups,startup & entrepreneurship,startup & entrepreneurship
6720554947,3,2024-05-28, Sundays, 12pm - 2pm,Startups,Sundays,12pm - 2pm,startups,startup & entrepreneurship,startup & entrepreneurship
6720554947,3,2024-05-28, Fridays,4pm - 6pm,Startups,Fridays,4pm - 6pm,startups,startup & entrepreneurship,startup & entrepreneurship
6720554947,3,2024-05-28, Fridays, 12pm - 2pm,Startups,Fridays,12pm - 2pm,startups,startup & entrepreneurship,startup & entrepreneurship
6731154293,4,2024-05-28,Mondays,9am - 12pm,Any topic,Mondays,9am - 12pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28,Mondays, 4pm - 6pm,Any topic,Mondays,4pm - 6pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28,Mondays, 6pm - 8pm,Any topic,Mondays,6pm - 8pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Thursdays,9am - 12pm,Any topic,Thursdays,9am - 12pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Thursdays, 4pm - 6pm,Any topic,Thursdays,4pm - 6pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Thursdays, 6pm - 8pm,Any topic,Thursdays,6pm - 8pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Fridays,9am - 12pm,Any topic,Fridays,9am - 12pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Fridays, 4pm - 6pm,Any topic,Fridays,4pm - 6pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Fridays, 6pm - 8pm,Any topic,Fridays,6pm - 8pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Saturdays,9am - 12pm,Any topic,Saturdays,9am - 12pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Saturdays, 4pm - 6pm,Any topic,Saturdays,4pm - 6pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Saturdays, 6pm - 8pm,Any topic,Saturdays,6pm - 8pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Sundays,9am - 12pm,Any topic,Sundays,9am - 12pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Sundays, 4pm - 6pm,Any topic,Sundays,4pm - 6pm,any topic,uncategorized,uncategorized
6731154293,4,2024-05-28, Sundays, 6pm - 8pm,Any topic,Sundays,6pm - 8pm,any topic,uncategorized,uncategorized
6731178091,5,2024-05-28,Mondays,12pm - 2pm,Anything related to UX designs and cool ideas,Mondays,12pm - 2pm,anything related to ux designs and cool ideas,ux & design,ux & design
6731178091,5,2024-05-28,Mondays, 2pm - 4pm,Anything related to UX designs and cool ideas,Mondays,2pm - 4pm,anything related to ux designs and cool ideas,ux & design,ux & design
6731178091,5,2024-05-28,Mondays, 4pm - 6pm,Anything related to UX designs and cool ideas,Mondays,4pm - 6pm,anything related to ux designs and cool ideas,ux & design,ux & design
